"index_col","Company","TypeName","Inches","screen_size","resolution_width","resolution_height","ips_panel","touchscreen","cpu_brand","cpu_name","cpu_speed","Ram","memory_type","primary_storage","secondary_storage","gpu_brand","OpSys","Weight","price","ppi"
51,"Acer","Notebook",15.6,"medium",1366,768,0,0,"Intel","Celeron Dual",1.1,4,"HDD","1024","0","Intel","windows",2.1,18541,100
52,"MSI","Gaming",15.6,"medium",1920,1080,1,0,"Intel","Core i7",2.8,16,"Hybrid","256","1024","Nvidia","windows",2.4,95851,141
53,"Acer","Notebook",15.6,"medium",1366,768,0,0,"Intel","Pentium Quad",1.1,4,"HDD","1024","0","Intel","windows",2.1,19368,100
54,"Dell","Gaming",15.6,"medium",1920,1080,0,0,"Intel","Core i7",2.8,8,"Hybrid","128","1024","Nvidia","windows",2.56,56503,141
55,"Acer","Notebook",17.3,"large",1920,1080,1,0,"Intel","Core i5",1.6,8,"SSD","256","0","Nvidia","windows",3.0,45501,127
56,"HP","Notebook",13.3,"small",1920,1080,1,0,"Intel","Core i5",1.6,4,"HDD","500","0","Intel","windows",1.49,40173,166
57,"Asus","Notebook",15.6,"medium",1366,768,0,0,"AMD","A9-Series 9420",3.0,4,"HDD","1024","0","AMD","windows",1.68,24988,100
58,"Huawei","Ultrabook",13.0,"small",2160,1440,1,0,"Intel","Core i5",2.5,8,"SSD","256","0","Intel","windows",1.05,71875,200
59,"HP","Notebook",17.3,"large",1920,1080,1,0,"Intel","Core i5",2.5,6,"HDD","2048","0","AMD","windows",2.71,37243,127
60,"Lenovo","2 in 1 Convertible",13.9,"small",1920,1080,1,1,"Intel","Core i7",1.8,8,"SSD","512","0","Intel","windows",1.37,98515,158
61,"Lenovo","Notebook",15.6,"medium",1366,768,0,0,"AMD","A6-Series 9220",2.9,4,"HDD","500","0","AMD","N/A",2.2,16464,100
62,"Toshiba","Notebook",15.6,"medium",1366,768,0,0,"Intel","Core i3",2.4,4,"HDD","500","0","Intel","windows",5.4,26054,100
63,"Acer","Notebook",17.3,"large",1920,1080,1,0,"Intel","Core i3",2.7,4,"SSD","256","0","Nvidia","windows",3.0,37403,127
64,"HP","Notebook",17.3,"large",1920,1080,0,0,"Intel","Core i5",1.6,8,"SSD","256","0","Nvidia","windows",2.5,49177,127
65,"Dell","Ultrabook",13.3,"small",1920,1080,0,0,"Intel","Core i5",1.6,8,"SSD","256","0","Intel","windows",1.41,50563,166
66,"HP","Notebook",15.6,"medium",1366,768,0,0,"AMD","A6-Series A6-9220",2.5,8,"SSD","128","0","AMD","windows",1.91,23758,100
67,"Dell","Notebook",15.6,"medium",1366,768,0,0,"Intel","Core i3",2.4,8,"HDD","1024","0","Intel","windows",2.3,24456,100
68,"HP","Notebook",17.3,"large",1920,1080,1,0,"Intel","Core i7",1.8,16,"HDD","1024","0","Nvidia","windows",2.9,56424,127
69,"Acer","Notebook",15.6,"medium",1366,768,0,0,"Intel","Core i3",2.0,4,"SSD","128","0","Intel","windows",2.1,23923,100
70,"MSI","Gaming",18.4,"large",1920,1080,0,0,"Intel","Core i7",2.9,32,"Hybrid","512","1024","Nvidia","windows",4.4,149131,120
71,"MSI","Gaming",17.3,"large",1920,1080,0,0,"Intel","Core i7",2.8,16,"Hybrid","512","1024","Nvidia","windows",4.14,133147,127
72,"Lenovo","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i5",2.5,8,"Hybrid","128","1024","AMD","windows",1.9,43317,141
73,"HP","2 in 1 Convertible",13.3,"small",3840,2160,1,1,"Intel","Core i5",1.6,8,"SSD","256","0","Intel","windows",1.29,79867,331
74,"Lenovo","2 in 1 Convertible",15.6,"medium",1920,1080,1,1,"Intel","Core i7",2.8,8,"SSD","512","0","Nvidia","windows",2.0,90523,141
75,"Dell","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i7",1.8,16,"Hybrid","256","2048","AMD","linux",2.02,55891,141
76,"HP","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i3",2.0,4,"HDD","500","0","Intel","N/A",1.86,18381,141
77,"Dell","Notebook",17.3,"large",1920,1080,0,0,"Intel","Core i7",1.8,8,"Hybrid","128","1024","AMD","windows",2.8,60846,127
78,"Lenovo","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i3",2.0,4,"SSD","256","0","Intel","N/A",2.2,23656,141
79,"HP","Notebook",15.6,"medium",1920,1080,1,0,"Intel","Core i5",1.6,4,"HDD","500","0","Intel","windows",2.1,38468,141
80,"Dell","Ultrabook",14.0,"medium",1920,1080,0,0,"Intel","Core i5",1.6,8,"SSD","256","0","Intel","windows",1.7,46833,157
81,"Dell","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i5",2.5,4,"HDD","1024","0","Intel","windows",2.18,35005,141
82,"Dell","Ultrabook",13.3,"small",1920,1080,0,0,"Intel","Core i5",1.6,8,"SSD","256","0","Intel","windows",1.23,74539,166
83,"Apple","Ultrabook",15.4,"medium",2880,1800,1,0,"Intel","Core i7",2.8,16,"SSD","256","0","AMD","macos",1.83,130002,221
84,"Lenovo","2 in 1 Convertible",13.9,"small",3840,2160,1,1,"Intel","Core i7",1.8,16,"SSD","512","0","Intel","windows",1.4,98515,317
85,"Lenovo","Notebook",14.0,"medium",1920,1080,1,0,"Intel","Core i3",2.7,8,"SSD","256","0","Intel","N/A",1.7,31915,157
86,"Dell","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i5",2.5,8,"HDD","1024","0","AMD","windows",2.24,30103,141
87,"Dell","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i3",2.0,4,"SSD","256","0","AMD","windows",2.2,26581,141
88,"Asus","Notebook",14.0,"medium",1920,1080,0,0,"Intel","Core i5",1.6,8,"SSD","256","0","Intel","windows",1.4,50136,157
89,"Apple","Ultrabook",12.0,"small",2304,1440,1,0,"Intel","Core M",1.2,8,"SSD","256","0","Intel","macos",0.92,67261,226
90,"Toshiba","Notebook",15.6,"medium",1366,768,0,0,"Intel","Core i5",2.5,8,"SSD","128","0","Intel","windows",2.0,42251,100
91,"HP","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i5",2.5,8,"SSD","256","0","Intel","windows",1.86,36763,141
92,"Dell","2 in 1 Convertible",15.6,"medium",1920,1080,0,1,"Intel","Core i5",1.6,8,"SSD","256","0","Intel","windows",2.67,42571,141
93,"Apple","Ultrabook",13.3,"small",2560,1600,1,0,"Intel","Core i5",2.3,8,"SSD","256","0","Intel","macos",1.37,80908,227
94,"Asus","2 in 1 Convertible",13.3,"small",1920,1080,0,1,"Intel","Core i7",1.8,8,"SSD","512","512","Intel","windows",4.1,79867,166
95,"Asus","Ultrabook",15.6,"medium",1920,1080,0,0,"Intel","Core i7",2.8,16,"SSD","512","0","Nvidia","windows",1.8,105654,141
96,"Xiaomi","Notebook",15.6,"medium",1920,1080,1,0,"Intel","Core i5",1.6,8,"SSD","256","0","Nvidia","N/A",1.95,63883,141
97,"HP","Notebook",17.3,"large",1920,1080,0,0,"Intel","Core i7",1.8,8,"HDD","1024","0","Nvidia","windows",2.5,54239,127
98,"HP","Notebook",15.6,"medium",1366,768,0,0,"Intel","Core i3",2.0,4,"HDD","500","0","AMD","windows",1.86,23373,100
99,"Lenovo","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i7",1.8,8,"SSD","256","0","Intel","windows",2.05,46886,141
100,"Dell","Notebook",17.3,"large",1920,1080,0,1,"Intel","Core i7",1.8,16,"SSD","512","0","Nvidia","windows",2.77,82531,127
101,"Dell","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i7",2.7,8,"SSD","256","0","AMD","windows",2.2,39694,141
102,"Dell","Notebook",15.6,"medium",3840,2160,0,1,"Intel","Core i7",2.8,16,"SSD","512","0","Nvidia","windows",2.06,127712,282
103,"Apple","Ultrabook",13.3,"small",2560,1600,1,0,"Intel","Core i5",2.9,8,"SSD","512","0","Intel","macos",1.37,104370,227
104,"HP","Notebook",14.0,"medium",1366,768,0,0,"Intel","Celeron Dual",1.6,4,"SSD","32","0","Intel","windows",1.44,12201,112
105,"Asus","Gaming",17.3,"large",1920,1080,0,0,"AMD","Ryzen 1700",3.0,16,"Hybrid","256","1024","AMD","windows",3.2,82531,127
106,"Apple","Ultrabook",15.4,"medium",2880,1800,1,0,"Intel","Core i7",2.9,16,"SSD","512","0","AMD","macos",1.83,152274,221
107,"Lenovo","Gaming",15.6,"medium",1920,1080,1,0,"Intel","Core i5",2.5,8,"SSD","256","0","Nvidia","N/A",2.4,41505,141
108,"Acer","Ultrabook",13.3,"small",1920,1080,1,0,"Intel","Core i5",1.2,8,"SSD","256","0","Intel","windows",1.12,52694,166
109,"Lenovo","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i5",2.5,4,"HDD","1024","0","Intel","windows",1.9,29251,141
110,"Lenovo","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i3",2.4,8,"HDD","1024","0","Nvidia","N/A",2.2,26587,141
111,"Dell","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i7",1.8,8,"SSD","256","0","AMD","linux",2.14,39165,141
112,"Dell","Notebook",17.3,"large",1920,1080,0,0,"Intel","Core i7",1.8,8,"Hybrid","128","1024","AMD","windows",2.8,57809,127
113,"Lenovo","2 in 1 Convertible",14.0,"medium",2560,1440,0,1,"Intel","Core i7",2.6,16,"SSD","512","0","Intel","windows",1.36,133147,210
114,"Dell","Ultrabook",13.3,"small",1920,1080,1,1,"Intel","Core i5",1.6,8,"SSD","128","0","Intel","windows",1.22,52161,166
115,"Asus","Gaming",17.3,"large",1920,1080,0,0,"Intel","Core i7",2.8,12,"HDD","1024","0","Nvidia","linux",3.0,50563,127
116,"Vero","Notebook",14.0,"medium",1920,1080,1,0,"Intel","Celeron Dual",1.1,4,"Flash Storage","32","0","Intel","windows",1.3,13853,157
117,"Toshiba","Notebook",15.6,"medium",1366,768,0,0,"Intel","Core i7",2.5,8,"HDD","500","0","Nvidia","windows",2.2,43263,100
118,"Xiaomi","Ultrabook",13.3,"small",1920,1080,1,0,"Intel","Core i5",2.5,8,"SSD","256","0","Nvidia","N/A",1.3,53275,166
119,"Microsoft","Ultrabook",13.5,"small",2256,1504,0,1,"Intel","Core i5",2.5,4,"SSD","128","0","Intel","windows",1.25,58022,201
120,"Dell","Notebook",15.6,"medium",1366,768,0,0,"Intel","Core i7",2.7,12,"HDD","1024","0","Intel","windows",2.3,37992,100
121,"Lenovo","Notebook",17.3,"large",1600,900,0,0,"Intel","Core i5",1.6,8,"SSD","256","0","Nvidia","N/A",2.8,37189,106
122,"Dell","Ultrabook",13.3,"small",1920,1080,1,0,"Intel","Core i7",1.8,64,"SSD","256","0","AMD","windows",1.4,50882,166
123,"Dell","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i7",1.8,8,"SSD","256","0","AMD","windows",2.2,46354,141
124,"Dell","Notebook",17.3,"large",1920,1080,0,0,"Intel","Core i7",1.8,8,"Hybrid","128","1024","AMD","linux",2.8,58555,127
125,"Dell","2 in 1 Convertible",13.3,"small",1920,1080,1,1,"Intel","Core i7",1.8,8,"HDD","1024","0","Intel","windows",1.62,44702,166
126,"Acer","Notebook",15.6,"medium",1920,1080,1,0,"Intel","Core i7",1.8,8,"HDD","1024","0","Nvidia","windows",2.2,39694,141
127,"HP","Notebook",17.3,"large",1920,1080,1,0,"Intel","Core i5",1.6,8,"HDD","1024","0","Nvidia","windows",2.5,48698,127
128,"Razer","Gaming",17.3,"large",3840,2160,0,1,"Intel","Core i7",2.9,32,"SSD","1024","0","Nvidia","windows",3.49,324955,255
129,"MSI","Gaming",17.3,"large",1920,1080,0,0,"Intel","Core i5",2.5,8,"Hybrid","128","1024","Nvidia","windows",2.7,58342,127
130,"Lenovo","Notebook",17.3,"large",1600,900,0,0,"Intel","Core i3",2.0,4,"HDD","1024","0","Intel","windows",2.8,26054,106
131,"Lenovo","Notebook",17.3,"large",1920,1080,0,0,"Intel","Core i7",1.8,8,"HDD","2048","0","Nvidia","N/A",2.8,45235,127
132,"HP","Notebook",13.3,"small",1920,1080,0,0,"Intel","Core i5",1.6,8,"SSD","512","0","Intel","windows",1.49,51096,166
133,"Lenovo","Notebook",17.3,"large",1600,900,0,0,"Intel","Core i7",2.7,6,"Hybrid","128","1024","Nvidia","windows",2.8,45768,106
134,"HP","Gaming",17.3,"large",1920,1080,1,0,"Intel","Core i7",2.8,16,"Hybrid","256","1024","Nvidia","windows",3.35,73473,127
135,"Acer","Notebook",14.0,"medium",1366,768,0,0,"Intel","Core i3",2.0,8,"HDD","1024","0","Intel","windows",2.1,20726,112
136,"Dell","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i3",2.0,4,"HDD","1024","0","AMD","linux",2.25,22804,141
137,"Asus","Gaming",15.6,"medium",1920,1080,0,0,"Intel","Core i7",2.8,8,"HDD","1024","0","Nvidia","windows",2.2,50563,141
138,"Lenovo","Gaming",15.6,"medium",1920,1080,1,0,"Intel","Core i5",2.5,8,"Hybrid","128","1024","Nvidia","windows",2.5,53227,141
139,"HP","Notebook",17.3,"large",1920,1080,0,0,"Intel","Core i7",1.8,8,"SSD","256","0","Nvidia","windows",2.5,55678,127
140,"Lenovo","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i5",2.5,8,"HDD","2048","0","Intel","N/A",2.2,27652,141
141,"Lenovo","Gaming",15.6,"medium",1920,1080,1,0,"Intel","Core i5",2.5,8,"SSD","256","0","Nvidia","windows",2.5,44169,141
142,"Dell","Gaming",15.6,"medium",3840,2160,1,0,"Intel","Core i7",2.8,16,"Hybrid","512","1024","Nvidia","windows",2.65,98302,282
143,"HP","Notebook",15.6,"medium",1366,768,0,0,"AMD","E-Series E2-9000e",1.5,4,"HDD","500","0","AMD","N/A",1.86,13746,100
144,"Dell","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i7",1.8,8,"Hybrid","128","1024","Intel","windows",2.02,45554,141
145,"Lenovo","Notebook",15.6,"medium",1366,768,0,0,"Intel","Core i5",2.3,4,"SSD","128","0","Intel","windows",2.1,26267,100
146,"Lenovo","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i5",2.5,6,"SSD","256","0","Intel","windows",2.2,30849,141
147,"Dell","2 in 1 Convertible",13.3,"small",1920,1080,0,1,"Intel","Core i5",1.6,8,"SSD","256","0","Intel","windows",1.62,43636,166
148,"Acer","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i7",2.7,8,"HDD","1024","0","Nvidia","windows",2.23,39534,141
149,"Acer","Notebook",15.6,"medium",1920,1080,1,0,"Intel","Core i7",1.8,8,"SSD","256","0","Nvidia","windows",3.0,50669,141
150,"Lenovo","Gaming",15.6,"medium",1920,1080,1,0,"Intel","Core i7",2.8,16,"Hybrid","512","1024","Nvidia","windows",3.2,93187,141
151,"Acer","Notebook",15.6,"medium",1920,1080,1,1,"Intel","Core i7",2.7,12,"HDD","1024","0","Intel","windows",2.15,35112,141
152,"Acer","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i3",2.7,4,"HDD","1024","0","Nvidia","windows",2.2,28238,141
153,"Dell","Workstation",15.6,"medium",3840,2160,0,0,"Intel","Xeon E3-1505M",3.0,16,"Hybrid","256","1024","Nvidia","windows",2.8,162770,282
154,"Lenovo","Notebook",15.6,"medium",1920,1080,1,0,"Intel","Core i7",2.7,8,"SSD","256","0","Intel","windows",1.95,58448,141
155,"HP","Ultrabook",15.6,"medium",1920,1080,0,0,"Intel","Core i7",1.8,8,"SSD","256","0","Intel","windows",1.91,35112,141
156,"Asus","Ultrabook",15.6,"medium",1920,1080,0,0,"Intel","Core i5",2.5,8,"SSD","256","0","Nvidia","windows",1.7,52055,141
157,"HP","Notebook",17.3,"large",1920,1080,0,0,"Intel","Core i5",1.6,8,"Hybrid","128","1024","Nvidia","windows",2.5,52055,127
158,"Lenovo","Gaming",15.6,"medium",1920,1080,0,0,"Intel","Core i7",2.8,16,"SSD","512","0","Nvidia","N/A",2.4,74485,141
159,"Dell","Notebook",15.6,"medium",1366,768,0,1,"Intel","Core i3",2.4,6,"HDD","1024","0","Intel","windows",2.3,23390,100
160,"Dell","Ultrabook",13.3,"small",3840,2160,1,1,"Intel","Core i7",1.8,8,"SSD","256","0","Intel","windows",1.21,103843,331
161,"Dell","Notebook",15.6,"medium",1366,768,0,0,"Intel","Core i3",2.0,4,"HDD","1024","0","Intel","windows",2.3,22305,100
162,"Lenovo","Gaming",15.6,"medium",1920,1080,1,0,"Intel","Core i7",2.8,16,"Hybrid","256","1024","Nvidia","windows",2.5,62817,141
163,"Dell","Ultrabook",15.6,"medium",1920,1080,1,0,"Intel","Core i5",1.6,8,"SSD","256","0","Intel","windows",1.88,58403,141
164,"Dell","Ultrabook",13.3,"small",1920,1080,0,0,"Intel","Core i7",1.8,8,"SSD","256","0","Intel","windows",1.22,77203,166
165,"Lenovo","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i7",2.7,8,"HDD","1024","0","Nvidia","N/A",2.2,35112,141
166,"Apple","Ultrabook",13.3,"small",1440,900,0,0,"Intel","Core i5",1.6,8,"Flash Storage","128","0","Intel","macos",1.35,58555,128
167,"Apple","Ultrabook",12.0,"small",2304,1440,1,0,"Intel","Core i5",1.3,8,"SSD","512","0","Intel","macos",0.92,80453,226
168,"Dell","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i5",1.6,8,"SSD","256","0","AMD","windows",2.2,42624,141
169,"HP","Notebook",14.0,"medium",1920,1080,0,0,"Intel","Core i5",1.6,8,"SSD","256","0","Intel","windows",1.63,45821,157
170,"Acer","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i7",2.8,8,"HDD","1024","0","Nvidia","linux",2.4,41505,141
171,"Acer","Notebook",15.6,"medium",1366,768,0,0,"Intel","Celeron Dual",1.5,2,"SSD","16","0","Intel","other",2.19,10603,100
172,"Asus","Gaming",17.3,"large",1920,1080,0,0,"Intel","Core i7",2.8,16,"Hybrid","256","1024","Nvidia","windows",2.9,74965,127
173,"Dell","Ultrabook",15.6,"medium",1920,1080,0,0,"Intel","Core i7",1.9,8,"SSD","256","256","Intel","windows",1.88,69157,141
174,"Asus","Gaming",17.3,"large",1920,1080,0,0,"Intel","Core i7",2.8,8,"HDD","1024","0","Nvidia","windows",3.0,63243,127
175,"HP","Notebook",17.3,"large",1600,900,0,0,"Intel","Core i3",2.0,8,"HDD","1024","0","Intel","windows",2.54,26054,106
176,"HP","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i3",2.0,4,"HDD","500","0","Intel","N/A",2.1,18595,141
177,"Lenovo","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i5",2.5,8,"SSD","256","0","Intel","N/A",2.2,29251,141
178,"HP","Notebook",17.3,"large",1920,1080,0,0,"Intel","Core i5",1.6,8,"HDD","1024","0","Nvidia","windows",2.5,47739,127
179,"Huawei","Ultrabook",13.0,"small",2160,1440,1,0,"Intel","Core i7",2.7,8,"SSD","512","0","Intel","windows",1.05,79867,200
180,"Dell","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i7",2.8,8,"SSD","256","0","Nvidia","windows",2.0,97449,141
181,"Chuwi","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Atom x5-Z8300",1.4,4,"Flash Storage","64","0","Intel","windows",1.89,13053,141
182,"Dell","Ultrabook",13.3,"small",1920,1080,1,0,"Intel","Core i7",1.8,8,"SSD","256","0","AMD","windows",1.4,49651,166
183,"Lenovo","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i5",1.6,8,"SSD","256","0","Intel","windows",2.05,39374,141
184,"Lenovo","Gaming",15.6,"medium",1920,1080,1,0,"Intel","Core i7",2.8,8,"HDD","1024","0","Nvidia","windows",3.2,69211,141
185,"Asus","Notebook",14.0,"medium",1366,768,0,0,"AMD","E-Series E2-6110",1.5,2,"Flash Storage","32","0","AMD","windows",1.65,10603,112
186,"Lenovo","Notebook",17.3,"large",1600,900,0,0,"Intel","Core i5",2.5,8,"HDD","1024","0","Nvidia","N/A",2.8,31382,106
187,"Acer","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i7",2.8,8,"SSD","256","0","Nvidia","linux",2.5,52161,141
